month,topic,age_group,share_of_messages
2025-10-01,Technical help,65+,0.018
2025-10-01,Writing,18-24,0.314
2025-10-01,Writing,25-34,0.373
2025-10-01,Writing,35-44,0.180
2025-10-01,Writing,45-54,0.085
2025-10-01,Writing,55-64,0.029
2025-10-01,Writing,65+,0.019
2025-11-01,Multimedia,18-24,0.263
2025-11-01,Multimedia,25-34,0.358
2025-11-01,Multimedia,35-44,0.204
2025-11-01,Multimedia,45-54,0.102
2025-11-01,Multimedia,55-64,0.043
2025-11-01,Multimedia,65+,0.030
2025-11-01,Other/Unknown,18-24,0.316
2025-11-01,Other/Unknown,25-34,0.346
2025-11-01,Other/Unknown,35-44,0.181
2025-11-01,Other/Unknown,45-54,0.089
2025-11-01,Other/Unknown,55-64,0.038
2025-11-01,Other/Unknown,65+,0.030
2025-11-01,Practical Guidance,18-24,0.369
2025-11-01,Practical Guidance,25-34,0.356
2025-11-01,Practical Guidance,35-44,0.154
2025-11-01,Practical Guidance,45-54,0.071
2025-11-01,Practical Guidance,55-64,0.030
2025-11-01,Practical Guidance,65+,0.020
2025-11-01,Seeking information,18-24,0.313
2025-11-01,Seeking information,25-34,0.354
2025-11-01,Seeking information,35-44,0.178
2025-11-01,Seeking information,45-54,0.089
2025-11-01,Seeking information,55-64,0.042
2025-11-01,Seeking information,65+,0.024
2025-11-01,Self-expression,18-24,0.330
2025-11-01,Self-expression,25-34,0.351
2025-11-01,Self-expression,35-44,0.177
2025-11-01,Self-expression,45-54,0.091
2025-11-01,Self-expression,55-64,0.025
2025-11-01,Self-expression,65+,0.026
2025-11-01,Technical help,18-24,0.367
2025-11-01,Technical help,25-34,0.365
2025-11-01,Technical help,35-44,0.153
2025-11-01,Technical help,45-54,0.070
2025-11-01,Technical help,55-64,0.027
2025-11-01,Technical help,65+,0.018
2025-11-01,Writing,18-24,0.330
2025-11-01,Writing,25-34,0.359
2025-11-01,Writing,35-44,0.174
2025-11-01,Writing,45-54,0.088
2025-11-01,Writing,55-64,0.031
2025-11-01,Writing,65+,0.018
2025-12-01,Multimedia,18-24,0.272
2025-12-01,Multimedia,25-34,0.356
2025-12-01,Multimedia,35-44,0.200
2025-12-01,Multimedia,45-54,0.106
2025-12-01,Multimedia,55-64,0.042
2025-12-01,Multimedia,65+,0.023
2025-12-01,Other/Unknown,18-24,0.314
2025-12-01,Other/Unknown,25-34,0.336
2025-12-01,Other/Unknown,35-44,0.176
2025-12-01,Other/Unknown,45-54,0.101
2025-12-01,Other/Unknown,55-64,0.040
2025-12-01,Other/Unknown,65+,0.034
2025-12-01,Practical Guidance,18-24,0.354
2025-12-01,Practical Guidance,25-34,0.365
2025-12-01,Practical Guidance,35-44,0.158
2025-12-01,Practical Guidance,45-54,0.073
2025-12-01,Practical Guidance,55-64,0.029
2025-12-01,Practical Guidance,65+,0.021
2025-12-01,Seeking information,18-24,0.303
2025-12-01,Seeking information,25-34,0.367
2025-12-01,Seeking information,35-44,0.179
2025-12-01,Seeking information,45-54,0.088
2025-12-01,Seeking information,55-64,0.039
2025-12-01,Seeking information,65+,0.025
2025-12-01,Self-expression,18-24,0.329
2025-12-01,Self-expression,25-34,0.361
2025-12-01,Self-expression,35-44,0.171
2025-12-01,Self-expression,45-54,0.079
2025-12-01,Self-expression,55-64,0.032
2025-12-01,Self-expression,65+,0.027
2025-12-01,Technical help,18-24,0.355
2025-12-01,Technical help,25-34,0.377
2025-12-01,Technical help,35-44,0.163
2025-12-01,Technical help,45-54,0.071
2025-12-01,Technical help,55-64,0.022
2025-12-01,Technical help,65+,0.013
2025-12-01,Writing,18-24,0.317
2025-12-01,Writing,25-34,0.369
2025-12-01,Writing,35-44,0.179
2025-12-01,Writing,45-54,0.084
2025-12-01,Writing,55-64,0.032
2025-12-01,Writing,65+,0.020
